"","Molecular.Formula","Theor_mz","DBE","HC","OC","NC","C","H","N","O","S","AI","AImod","NOSC","Count","Compound.category","Class","D1","D2","D3","D4","D5","D6","D7","D8","D9","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","I1","I2","I3"
"190","C12H19O9N1S0",320.098705,4,1.58333333333,0.75,0.0833333333333333,12,19,1,9,0,0,0,0.166666666666667,6,"Peptide_like","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","C12H20O10N0S0",323.09837,3,1.66666666667,0.833333333333,0,12,20,0,10,0,0,0,0,6,"Aliphatic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","C12H20O10N0S1",355.070441,3,1.66666666667,0.833333333333,0,12,20,0,10,1,0,0,0.166666666666667,1,"Aliphatic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","C12H20O11N0S0",339.093285,3,1.66666666667,0.916666666667,0,12,20,0,11,0,0,0,0.166666666666667,5,"Sugars_wo_X","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","C12H20O4N0S0",227.128883,3,1.66666666667,0.333333333333,0,12,20,0,4,0,0,0.1,-1,18,"Aliphatic_LowOC","CHO",0,0,0.324064025851102,0,0,0.378675713453917,0,0,0.399541405827396,0,0.311597461802725,0.393685656795822,0,0,0,0,0,0,0,0,0,0.329137840431429,0,0.346580410419135,0,0.369026510097676,0,0.312720248663952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","C12H20O5N0S0",243.123797,3,1.66666666667,0.416666666667,0,12,20,0,5,0,0,0.0526315789473684,-0.833333333333333,38,"Aliphatic_LowOC","CHO",0,0,0.313005327949468,0.331796159775453,0,0.398663265024134,0.36554655434934,0.402852973715292,0.434064754793438,0.408655449609099,0.372815805510726,0.320685094342093,0.399635475812372,0,0.5842092603881,0,0,0.346917261995026,0.412630318816521,0.397400833066954,0.369759843919093,0.325531443823401,0.369070742072944,0.512405651789265,0.351107611835767,0.416689195880104,0,0.408211026551114,0,0,0,0,0,0,0.378166388987098,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","C12H20O7N0S0",275.113626,3,1.66666666667,0.583333333333,0,12,20,0,7,0,0,0,-0.5,45,"Aliphatic_HighOC","CHO",0,0,0.39185301379411,0,0,0.312079611988797,0.36709369829427,0.315313799357008,0.373706251312828,0,0.365297003307069,0,0.410036636224038,0.547398909425391,0.355147032493846,0,0,0.307957586672486,0.336791241890843,0.35971172903524,0.379728014461805,0,0.384968936351268,0.403978678006317,0,0.34981764506607,0,0,0.310317290681737,0,0,0.325420697702889,0.344257990855272,0,0,0,0,0.313512633670634,0.325338772126957,0,0,0,0,0,0,0,0,0
"198","C12H20O8N0S0",291.108541,3,1.66666666667,0.666666666667,0,12,20,0,8,0,0,0,-0.333333333333333,35,"Aliphatic_HighOC","CHO",0,0,0,0,0,0.31757999479042,0.422653252416781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318761441786026,0.31211376105764,0.313697396593373,0.314074928415839,0,0.314958759230455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","C12H20O9N0S0",307.103456,3,1.66666666667,0.75,0,12,20,0,9,0,0,0,-0.166666666666667,20,"Aliphatic_HighOC","CHO",0,0,0,0,0.310728428988574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","C12H22O10N0S1",357.086091,2,1.83333333333,0.833333333333,0,12,22,0,10,1,0,0,0,1,"Aliphatic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
