"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Pseudospirillum.1",20.4020692449283,61.0689649824996,144.610699681371,142.608723010337,1316.45166377057,6757.46715907052,344.442590561651,159.068645524904,0,0,0,0,132.588599571674,1203.26375728574,67.1061122046327,151.04675790478,0,0,0,0,0,174.824257141807,2228.69707473089,1738.77247038469
"Bacteria_Proteobacteria_NA_NA_NA_NA.1",36.9556718707081,71.2820283493081,779.133148666387,9647.95716996734,1305.47070922462,71.1296574604992,11.5625785818526,0,1.84778075837243,0,0,0,0,1.80053728655813,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.1",9866.49740425863,3785.88123873267,12602.1695776523,4555.15172721118,6481.16831808181,11641.2191632455,6374.58256436628,6394.83041084935,5225.9362406427,0,177.123056013943,1957.59301900581,570.4755317819,738.332294256539,858.333993335031,1377.4717297666,4416.89450424745,374.607077503167,0,0,0,0,1829.78801931747,2043.07472273091
"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_NA",76.707666548074,96.2011882301599,250.229070758775,465.651643468151,10380.2592376909,9173.64955381612,158.25341214919,147.719528040202,0,0,0,0,1345.31958414812,141.425421861288,18.659434633613,25.0807465390559,3.8817115870369,0,0,0,733.781279658385,185.686753862149,92.9678686190724,99.5138204079756
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0560997198324,4791.06872605625,5526.3308200704,5012.05578126918,28.6077571838155,25.4733870537478
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.4",0,0,0,0,0,0,0,0,0,0,0,0,0,43.8022409958769,45.9390024597012,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Porticoccaceae_Porticoccus",316.168004846636,255.197068223675,408.716639492235,328.548777573291,2382.59548365105,26487.6953879277,409.162046270071,1275.25387292851,0,0,0,0,45.1380518137161,256.834408392425,155.05388267528,764.430102088356,0,0,0,0,38.1492632641992,83.6154033345393,743.438926047511,2182.42978852655
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Ascidiaceihabitans",31.969054370034,22.4250974681904,39.1266065535098,42.4079563522044,177.436009765629,473.478589295531,473.843321779013,400.766396999165,0,0,0,0,49.4799092179143,83.0908907847921,7791.76525079875,6400.18402602594,12.0147206371284,0,0,0,0,0,5878.18547535493,8533.43455255403
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia",0,0,0,0,0,0,0,0,0,0,0,0,0,6317.72522696866,0,13917.4813791521,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.4",0,243.899080766978,259.297358130607,23.4197879404997,0,0,0,0,132.771750083094,759.017512824755,544.794172714852,1731.19155941369,1151.30673688481,0,0,0,19.637853729211,178.755700948455,371.898228195748,475.454799948369,358.830184349968,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Octadecabacter",0,119.933373280682,710.936107428732,658.473079232961,1052.87363114516,1294.06951447071,217.920886423464,40.7977302215242,0,0,0,738.121197451096,1330.04890464928,1095.7143006316,234.611291482964,332.920112885411,0,0,0,564.092598421082,927.933479097669,772.883509315407,8254.2686141953,3582.13100155011
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Ulvibacter",608.327637135032,2080.97681337027,5830.07697131124,750.671362978295,3616.56138305219,7079.47808345186,1298.88530256677,375.36679781036,0,0,0,0,157.717210675938,21.9896098749956,0,0,0,0,0,337.417722948045,828.263193180471,65.4053603847524,249.059773735078,292.600364725046
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Balneatrix",187.792892670453,1367.93983398235,9374.02347747865,278.637763172693,1399.69443110149,1846.70233127818,91.2832257048952,67.7480119541743,11.3676193283207,0,0,1072.98153757093,3051.63897917467,161.938917881123,26.5303234311358,242.755466126894,0,0,0,731.118875825984,1985.82803964617,92.0199241700153,53.2599861640803,35.669888882001
"Bacteria_Proteobacteria_Alphaproteobacteria_OCS116_clade_NA_NA",2068.57949578541,949.149718087911,3458.36986212913,436.899205754975,737.119231391292,2340.51727686659,2252.98320713333,321.344073928198,413.591725123132,18.3107916423548,21.2731812076399,125.684227290954,146.798437481794,48.1506045758443,1843.82857814809,1115.43937851886,134.894867887109,0,0,0,31.2359932378737,0,840.779649055523,4725.6721628481
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Pseudofulvibacter",0,0,0,1716.44909740644,2807.96651047083,3322.24193478366,331.455247285306,240.500951787024,18.9277602705469,0,12.8003205985426,1353.98275620156,1103.45021635246,271.784405120144,66.7593105946321,45.7124482225215,3.60441619157106,0,0,1580.54457052583,995.585335236371,394.10998228819,65.4464882075284,189.732680314736
