ID;Time;Aliphatic_HighOC_no;Aliphatic_LowOC_no;Condensed_aromatics_no;Condensed_aromatics.X_no;Highly_Unsaturated_and_Phenolic_HighOC_no;Highly_Unsaturated_and_Phenolic_LowOC_no;Peptide_like_no;Polyphenolic_HighOC_no;Polyphenolic_LowOC_no;Sugars_w_X_no;Sugars_wo_X_no;Num.formula_no;Aliphatic_HighOC_percent;Aliphatic_LowOC_percent;Condensed_aromatics_percent;Condensed_aromatics.X_percent;Highly_Unsaturated_and_Phenolic_HighOC_percent;Highly_Unsaturated_and_Phenolic_LowOC_percent;Peptide_like_percent;Polyphenolic_HighOC_percent;Polyphenolic_LowOC_percent;Sugars_w_X_percent;Sugars_wo_X_percent;CHO_no;CHON_no;CHOS_no;CHO.1_no;CHO.2;CHON_percent;CHOS_percent;CHO_percent_percent;AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Aliphatic_HighOC_percentRA;Aliphatic_LowOC_percentRA;Condensed_aromatics_percentRA;Condensed_aromatics.X_percentRA;Highly_Unsaturated_and_Phenolic_HighOC_percentRA;Highly_Unsaturated_and_Phenolic_LowOC_percentRA;Peptide_like_percentRA;Polyphenolic_HighOC_percentRA;Polyphenolic_LowOC_percentRA;Sugars_w_X_percentRA;Sugars_wo_X_percentRA;Condensed_Aromatics_percentRA;Polyphenolic_percentRA;Highly_Unsaturated_and_Phenolic_percentRA;Aliphatic_percentRA
M8;4;107;212;6;0;1295;1149;24;43;74;0;1;2911;3.67571281346616;7.28272071453109;0.20611473720371;0;44.4864307798008;39.4709721745105;0.82445894881484;1.47715561662659;2.54208175884576;0;0.0343524562006183;2158;573;180;2158;74.1326004809344;19.6839574029543;6.1834421161113;74.1326004809344;494.632706100996;428.47948075272;1.23631380029959;0.501298079330464;0.00553057628687131;-0.215814996045735;0.240095595072845;0.0290654320994238;1.32269442424584;3.08320601647546;0.0215728177334434;0;53.7670484759709;40.9135929758922;0.129261255486859;0.26125811182134;0.497530355466766;0;0.00383556690722378;0.0215728177334434;0.758788467288106;94.6806414518631;4.4059004407213
M7;20;107;184;3;0;1241;1138;22;45;64;0;1;2805;3.81461675579323;6.55971479500891;0.106951871657754;0;44.2424242424242;40.5704099821747;0.784313725490196;1.60427807486631;2.28163992869875;0;0.035650623885918;2118;494;193;2118;75.5080213903743;17.6114081996435;6.88057040998217;75.5080213903743;495.767758972906;427.879530013356;1.23407576710022;0.503446380041056;0.00533892198867911;-0.20976306571057;0.240618507147784;0.028566536692469;1.32224958062803;2.7697294092776;0.0115482875596034;0;54.5400917142295;40.52257301794;0.115996086195188;0.267753043844774;0.446875596513514;0;0.00318326381182409;0.0115482875596034;0.714628640358289;95.0626647321695;4.09197898990564
M3;0;110;186;8;0;1366;1197;31;54;71;0;1;3024;3.63756613756614;6.15079365079365;0.264550264550265;0;45.1719576719577;39.5833333333333;1.02513227513228;1.78571428571429;2.3478835978836;0;0.0330687830687831;2118;704;202;2118;70.0396825396825;23.2804232804233;6.67989417989418;70.0396825396825;493.815771864418;427.064022669246;1.23351141845138;0.505084823203649;0.00658938848902767;-0.202163764136769;0.240166699931163;0.0282497184274551;1.35990249195329;2.76363663303436;0.0334755659751472;0;54.7808451054732;40.0550252935599;0.186414099912899;0.32259336478526;0.486593370141439;0;0.0115140751644852;0.0334755659751472;0.8091867349267;94.8358703990331;4.12353912498765
M6;15;71;143;3;0;694;659;0;36;34;0;3;1643;4.32136335970785;8.70359099208764;0.182592818015825;0;42.2398052343274;40.1095556908095;0;2.1911138161899;2.06938527084601;0;0.182592818015825;1643;0;0;1643;100;0;0;100;489.859784363968;430.189283919278;1.23679354080968;0.506815432031528;0;-0.223162676746247;0.23944735650503;0.0234670516950881;1.4222720344321;2.94624324430585;0.0166590974844049;0;54.170731508474;40.7666426154912;0;0.297304250433811;0.342774574625247;0;0.0373726747533929;0.0166590974844049;0.640078825059059;94.9373741239652;4.36851527873795
M5;15;88;222;5;0;1032;1088;66;41;64;1;0;2607;3.37552742616034;8.51553509781358;0.191791331031837;0;39.5857307249712;41.7337936325278;2.53164556962025;1.57268891446107;2.45492903720752;0.0383582662063675;0;2036;571;0;2036;78.0974299961642;21.9025700038358;0;78.0974299961642;477.397579420023;420.510527719128;1.2481989001582;0.488885864291946;0.00542573481921307;-0.254149967116346;0.239877007218688;0.0300059330131898;1.30217103102581;3.70305208703823;0.0179573182351285;0;48.6626162673233;45.2819668290935;0.371140285572801;0.237159195424254;0.42081687386914;0.00312011241782596;0;0.0179573182351285;0.657976069293394;93.9445830964168;5.00522311806403
M3;30;129;164;20;0;1484;1101;20;60;65;0;1;3044;4.23784494086728;5.38764783180026;0.657030223390276;0;48.7516425755585;36.1695137976347;0.657030223390276;1.97109067017083;2.1353482260184;0;0.0328515111695138;2105;554;385;2105;69.1524310118265;18.1997371879106;12.6478318002628;69.1524310118265;507.145644159987;434.170602276855;1.22970315787214;0.514887537722832;0.00539008155551198;-0.179970473507214;0.236381670879656;0.0248549735285115;1.55365859869052;2.37903172385938;0.0807090409715108;0;57.6603385096769;37.3650300216134;0.10372087061;0.387362177173712;0.466170892901083;0;0.00397816450353553;0.0807090409715108;0.853533070074795;95.0253685312903;3.9326903225499
M5;20;126;158;16;0;1400;1125;30;62;71;0;1;2989;4.21545667447307;5.28604884576782;0.535296085647374;0;46.8384074941452;37.638006022081;1.00368016058883;2.07427233188357;2.37537638006022;0;0.0334560053529609;2060;572;357;2060;68.9193710270994;19.1368350618936;11.943793911007;68.9193710270994;495.476682074607;430.547611519036;1.23036652204558;0.511335076595505;0.00609321927171207;-0.185739592336348;0.237923732871403;0.0259062697435148;1.50913502096074;2.37106927422166;0.064346688424488;0;56.265803507306;38.7363274489034;0.164254597541286;0.37369936011679;0.51134743061592;0;0.00401667190967899;0.064346688424488;0.88504679073271;95.0021309562094;3.88020429518241
M6;4;100;228;20;0;887;901;0;56;63;0;2;2257;4.43066016836509;10.1019051838724;0.886132033673017;0;39.2999556933983;39.9202481169694;0;2.48116969428445;2.79131590607;0;0.0886132033673017;2151;0;106;2151;95.303500221533;0;4.69649977846699;95.303500221533;500.937468539211;429.622730512733;1.2383093509031;0.498952818148067;0;-0.239459291645095;0.24169053533692;0.0296017810697022;1.4147224724394;3.36231733105592;0.0864849287425189;0;51.7705918609905;42.4285674028908;0;0.378817702683009;0.549666226985485;0;0.00883207421233212;0.0864849287425189;0.928483929668494;94.1991592638813;4.77703980349532
M1;15;128;175;16;0;1281;1080;27;60;75;0;1;2843;4.50228631727049;6.15546957439325;0.562785789658811;0;45.0580372845586;37.9880408019698;0.949701020049244;2.11044671122054;2.63805838902568;0;0.0351741118536757;2059;495;289;2059;72.4234963067183;17.4111853675695;10.1653183257123;72.4234963067183;489.894318294056;428.011935184723;1.23245859211538;0.506208024655374;0.00562592156022621;-0.199698504654101;0.239606244456998;0.0271794667097569;1.57149473551487;2.63649821840565;0.0675946050685372;0;54.3686968046432;40.2694560739215;0.155345002451549;0.37387038197528;0.551896088875174;0;0.00514808914421886;0.0675946050685372;0.925766470850454;94.6381528785647;4.20799295392051
M4;15;115;170;6;0;1296;1050;19;48;61;0;1;2766;4.15762834417932;6.14605929139552;0.216919739696312;0;46.8546637744035;37.9609544468547;0.686912509038322;1.7353579175705;2.20535068691251;0;0.0361532899493854;2065;498;203;2065;74.6565437454808;18.0043383947939;7.33911785972523;74.6565437454808;505.575574368764;432.154324422373;1.23238572290007;0.509208373172722;0.00443028696339897;-0.199026050569661;0.238798518069496;0.0254266398906885;1.42743017978047;2.6488815124501;0.0258289635510381;0;55.9063374121881;39.1441446603706;0.0825022900936424;0.309681769933411;0.45132503149951;0;0.00386818013309466;0.0258289635510381;0.761006801432922;95.0504820725587;4.07631169223058
