"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alteromonas",0,1.376811594,4.130434783,13.04347826,78.913043475,5.9420289855,1.0869565215,1.4492753625,15.579710145,4.2028985505,10.43478261,9.927536234,15.942028985,48.84057971,24.34782609,0.724637681,7.9710144945,0,3.768115942,2.463768116,4.1304347825,9.2028985525,0,1.304347826
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Formosa",385.37037035,166.66666665,136.2962963,20,32.222222225,28.333333335,12.4074074095,4.444444444,16.48148148,0,2.037037037,0,0,0,0,0,36.2962963,0,1.111111111,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_ZD0405_NA",143.8043478,96.6304348,126.739130435,3.4782608695,3.260869565,2.8260869565,0.8695652175,0.2173913045,44.13043478,1.847826087,0,0,0,0,0,0,43.695652175,0,1.6304347825,0.8695652175,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Pseudospirillum.2",0,0,0,0,0,5.909090909,19.181818183,133.090909085,0,0,0,0,1.181818182,28.72727273,69.45454545,27.90909091,0,0,0,0,0,1.818181818,55.454545455,39.909090905
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.5",0,0,0,0,0,0,0,0,0,0,0,62.6056338,79.3661972,204.1549296,0,0,0,0,0,0,0,0,0,0
"Bacteria_Verrucomicrobia_OPB35_soil_group_NA_NA_NA.1",0,0,0,0,0,0,0,1.6666666665,1.25,0,0,0,0,0.625,2.083333333,147.7083333,3.125,0,0,0,0.4166666665,0.625,1.25,217.70833335
"Bacteria_Verrucomicrobia_OPB35_soil_group_NA_NA_NA.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.91666667,918.5416667,0,0,0,0,0,0,0,25.833333335
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Marinomonas",0,0,0,0,0,0,0,0,0,0,0.512820513,30.512820515,48.012820515,87.56410255,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.6",0,0,0,0,0,0,0,0,0,0,0.4225352115,56.47887324,22.53521127,26.61971831,0,0,0,0,0.4225352115,8.732394365,5.5633802815,23.591549295,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Spongiibacteraceae_Dasania",0,0,0,0,0,0,0,0,0,1.2903225805,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Amylibacter",0,8.88888889,8.51851852,14.8148148145,42.962962965,82.77777778,83.88888888,38.14814815,0,0,0,0.3703703705,5.7407407405,5.3703703705,38.88888889,37.777777778,0,0,0,3.7037037035,16.66666667,15.925925925,335.55555556,55.37037037
"Bacteria_Planctomycetes_OM190_NA_NA_NA",0,0,0,0,0,0,0,9.736842105,0,0,0,0,0,1.052631579,54.73684211,325.789473685,0,0,0,0,0,0.5263157895,14.736842107,729.21052635
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Sulfitobacter.1",0.5,3.25,3.5,15.75,39.25,127.5,55.25,61.25,0,1.5,0,68.25,151.25,88.5,6.5,5,1.5,0,0,48.75,104.25,81.75,39.75,11.75
"Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Roseibacillus",0,0,0,0,0,0,0,0.6666666665,0,0,0,0,0,0,535.3333333,52,0,0,0,0,0,0.6666666665,270.66666665,69.16666667
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324_clade.Marine_group_B._NA_NA",0,0,0,0,0,0,0,0,107.2413793,5.172413793,2.4137931035,0,0.344827586,0,0,0,179.3103448,1.551724138,0.8620689655,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Neptunomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,109,107.9,5.9,0,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Formosa.1",172.4074074,179.81481485,147.2222222,0,0,0,0,0,0,0,0,1.851851852,8.333333333,3.148148148,0,0,0,0,0,0,0,0.925925926,0,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_NS9_marine_group_NA",0,0,0,0.6944444445,1.5277777775,6.6666666665,30.277777775,68.333333335,0,0,0,3.0555555555,9.999999999,235.8333333,145.5555556,6.805555555,0,0,0,0.5555555555,1.9444444445,47.22222222,20,5.2777777775
"Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Nitrosomonadaceae_Nitrosomonas",0,0,0,0,0,0,41.5,136.5,0,0,0,0,0,0,95,149,9,0,0,0,0,0,48,104.5
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Neptunomonas.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,64.2,3.2,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.3",285,35.5,37,147.5,205,207.5,178,177.5,89,0,15.5,0,17,0,24,23.5,98,0,0,0,0,0,39.5,37.5
"Bacteria_Cyanobacteria_Chloroplast_NA_NA_NA",105.76923076,54.423076925,54.038461535,162.5,16.3461538475,0,0,0,58.846153845,0,0.9615384615,0,0,0,0,0,142.5,0,0,0,0,0,0,0
"Bacteria_Verrucomicrobia_NA_NA_NA_NA",0,0,0,0,0,0,0,50.416666665,0,0,0,0,0,0,53.75,69.16666665,0,0,0,0,0,0,363.33333335,87.291666665
"Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_SHWN.night2_NA",0,0,0,0,0,0,8.7037037025,18.33333333,0,0,0,0,0,0,0,7.77777778,0,0,0,0,0,0,0.5555555555,8.148148147
"Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Roseibacillus.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,164,0,0,0,0,0,0,3.8333333335,11.333333335
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.7",0,0,0,0,0,0,0,0,0,0,0,2.1126760565,2.042253521,26.549295775,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_NA_NA_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,1.349206349,30.63492063,2.777777778,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_ZD0405_NA.1",0,0,0,0,0,0,0,0,67.5,2.9347826085,0,3.913043478,0,0,0,0,89.45652176,3.9130434785,0,0.9782608695,1.304347826,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_OM182_clade_NA",0.4347826085,1.7391304345,1.6304347825,2.7173913045,21.3043478255,93.69565215,13.586956525,43.58695652,0,0,0,0,5,44.130434785,53.04347826,12.60869565,0,0,0,0,1.847826087,51.84782609,8.043478261,32.282608695
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Oleispira",0,0,0,12.1,27.6,41.5,15.3,6.7,0.7,1.9,4.4,4,5.2,25.9,6.4,0,0,0,2.9,0.5,1.7,5.9,4.8,4.1
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.4",252,30.5,0,161.5,153.5,179.5,132.5,0,167,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter",0,0,0,0,0,0,0,0,0,0,0,66.8,41.3,20,0,0.9,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Sulfitobacter.2",0,0,0,0,7.75,5.25,9.5,9.5,0,0,0,9.75,15.75,26.5,36,32.25,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_NA_NA_NA",312.77777775,34.62962963,26.85185185,0.925925926,0,0,0,0,25.37037037,0,0,0,0,0,0,0,26.11111111,0,0,0,0,0,0,0
"Bacteria_Verrucomicrobia_Arctic97B.4_marine_group_NA_NA_NA",0.625,0,0,0,0,0,0,2.0833333335,8.541666665,0,0,0,0,0,0,2.2916666665,0,0,0,0,0,0,2.9166666665,564.1666667
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.8",0.985915493,30.845070425,21.408450705,10.5633802815,6.5492957745,1.7605633805,0,0,4.295774648,9.1549295775,8.521126761,12.112676054,7.7464788735,8.5915492935,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Perlucidibaca",0,0,0,0,0,0,43.96551724,195.2586207,0,0,0,0,0,0,0,0.948275862,0,0,0,0,0,0,0,0.948275862
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.5",158,0,0,144.5,149.5,180.5,229.5,291.5,0,0,0,0,0,0,0,0,121.5,0,0,0,0,0,0,37
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_SAR86_clade_NA",40,16.30434783,34.673913045,31.413043475,53.695652175,40.326086955,9.891304349,10.869565217,9.5652173935,0,0,0,0,0,7.173913043,1.5217391305,10.326086957,0,0.4347826085,0.543478261,0.652173913,0.760869565,4.2391304345,4.1304347825
"Bacteria_Proteobacteria_Betaproteobacteria_Methylophilales_Methylophilaceae_Methylotenera",0,0,0,0,9.6,34.6,38,90.4,0,0,0,0,11,10,8.4,64.2,0,0,0,0,0.8,17.4,31.2,106.2
"Bacteria_Verrucomicrobia_OPB35_soil_group_NA_NA_NA.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.249999985,0,0,0,0,0,0,3.5416666665,432.70833335
