"","NMDS1","NMDS2","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"26",-0.837771868535392,0.106804716206948,1,-0.192843474634748,0.292719798420121,0.0391588413023024,1,1,0.294128564553974,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"27",-0.881425834407022,0.786310274815893,1,-0.29853735401037,0.223890018785945,0.326531459496507,1,1,1,1,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,1
"28",-0.530658587092544,0.872910102462254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"29",1.05303676799067,0.0636785884654451,0,1,1,1,0,0,0,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1
"30",-0.245544248056062,0.521399160374371,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
"31",-0.533833365329852,-0.176393824481093,1,1,1,0.233991877327228,1,1,1,-0.38295291074037,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
"32",-0.101601857554576,0.00105499839915618,1,1,1,0.483750312434126,1,1,-0.513915439467228,-0.639240809432222,1,-1,-1,1,1,1,1,1,0,0,0,1,1,1,1,1
"33",-0.666059103974458,0.0875099990902614,1,-0.541158693672765,0.671857363555678,-0.788792644109096,-0.643659219820596,0.131461121815833,0.0891450929121312,-0.84465471373814,1,-0.955727374291873,-0.948564780397126,-0.696115227514438,-0.645064374926529,-0.883579381184405,1,1,1,-1,-1,-1,-0.768441944996643,-1,1,1
"34",-0.175863864550535,0.244784400538868,0,0,0,1,1,1,1,1,1,-1,-0.323727666898819,1,1,1,1,1,1,-1,-1,1,1,1,1,1
"35",-0.579294542558002,0.484843390046691,1,-0.626500907782183,0.374781035757382,-0.3768040448528,-0.243463259358648,0.634256368967349,0.0588407186855983,0.0717053852768492,1,-0.949069915664535,-0.919729550983532,-0.563555119294052,-0.454253418595533,-0.643873691714912,1,1,1,-0.968335537869631,-1,-0.622747370857633,-0.575506440287376,-0.837091084232924,1,1
"36",-0.736470592335091,0.983618844243306,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,1,1
"37",-0.243834527985746,-0.487854907196314,1,-0.545420021055176,-0.218988069558747,-0.885241321681043,-0.746641819684817,-0.540794598247244,-0.965517211238314,-0.980524391207267,1,-1,-1,-0.551102452331974,-0.812987339308972,-0.918828178005869,-1,-1,1,-0.972412620154603,-0.940550448717111,-1,-1,-1,-1,-1
"38",0.126323757452271,0.188454451918498,0,1,1,1,1,1,1,1,1,-0.649541461786458,-0.275303929853184,1,1,1,0.575652166910575,-0.84241928723908,1,-1,0.42933956663997,1,1,1,-1,-0.313123006693893
"39",-0.447253549504846,-0.759286019744832,1,0.0583505241395675,0.59353767729539,-0.970473105111347,-0.918046103898133,-0.869273031050969,-0.973870281814122,-0.991854924201071,1,-1,-0.877677775172984,-1,-1,-1,-1,-1,1,-1,-0.930658166499057,-1,-1,-1,-1,-1
"40",-0.173274470859215,-0.771698504924755,1,0.689053233133818,1,-0.985169148222315,-0.97794206498144,-0.972243645687792,-0.995737071623824,-0.999030720846227,1,-0.956117885973621,-1,-1,-1,-1,-1,-1,1,-1,-0.868372118203602,-0.909128420797628,-1,-1,-1,-1
"41",-0.770703319329113,0.734669438318064,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
"42",0.499766604261657,0.412582805508112,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"43",-0.802715166744485,1.02923022810424,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-0.44112837600791,0.741304899496196,1,1,-1,-1,-1,-0.173481176682103,-0.63993738270069,0.187180441646288,1
"44",-1.11655160916271,1.11548572755119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"45",0.548133647029741,0.394492954237547,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"46",0.693890656451091,0.551802546139645,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
"47",1.01432069297947,0.0631029975611091,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"48",-0.504623892245776,0.449710388723905,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
